,lat,lon,00:00Z 27-Apr-2024,00:00Z 28-Apr-2024,00:00Z 29-Apr-2024,00:00Z 30-Apr-2024,00:00Z 01-May-2024,00:00Z 02-May-2024,00:00Z 03-May-2024,00:00Z 04-May-2024,00:00Z 05-May-2024
176,4.090523,100.69046,0.0,0.0,0.09,0.01,1.19,0.0,0.03,1.88,5.41
177,4.090523,100.773605,0.78,0.0,0.0,0.68,1.95,0.0,0.06,4.35,9.23
178,4.090523,100.85674,5.23,0.0,2.39,2.8,3.77,0.0,1.76,5.14,9.21
179,4.090523,100.93988,0.71,0.0,2.02,2.37,13.8,0.0,0.29,0.96,36.0
180,4.090523,101.02302,4.14,0.0,10.45,9.55,0.73,0.0,6.64,0.28,35.39
181,4.090523,101.10615,0.88,0.3,0.9,11.17,2.36,0.0,6.1,0.04,5.23
182,4.090523,101.189285,5.97,0.0,11.15,24.18,3.24,0.0,2.43,7.07,0.66
183,4.090523,101.27242,1.56,0.0,0.18,1.24,7.0,0.0,9.3,1.77,1.46
184,4.090523,101.35556,16.07,1.31,10.4,21.7,5.3,2.36,2.95,0.1,2.99
185,4.090523,101.4387,27.95,3.42,0.97,81.63,12.02,4.15,22.93,0.53,1.85
186,4.090523,101.52183,10.23,2.37,31.12,11.17,27.36,5.53,14.01,0.2,1.86
187,4.090523,101.604965,0.02,4.74,20.29,11.89,5.92,2.9,0.32,0.01,0.08
188,4.090523,101.6881,1.49,0.01,2.16,29.1,2.21,0.04,1.03,0.0,7.65
189,4.090523,101.77124,0.0,0.0,3.16,1.12,2.83,0.01,3.6,0.0,0.0
190,4.090523,101.85438,3.78,0.0,0.59,1.49,1.97,0.0,1.17,0.0,0.0
191,4.090523,101.93751,11.4,0.0,2.72,0.01,1.79,0.0,0.0,0.0,0.23
192,4.090523,102.020645,2.44,0.0,2.0,1.47,3.68,0.0,0.02,0.0,0.68
193,4.090523,102.10378,1.12,0.01,1.91,2.96,1.98,0.03,0.01,1.16,7.94
194,4.090523,102.18692,1.54,0.0,3.78,0.58,3.68,0.05,0.09,7.16,8.1
195,4.090523,102.27006,6.86,0.01,1.3,0.06,3.33,0.0,0.0,1.62,24.2
196,4.090523,102.35319,0.76,0.07,0.11,0.25,1.12,0.02,0.01,0.99,23.78
197,4.090523,102.436325,0.08,0.0,0.01,5.34,7.58,0.01,0.02,0.57,13.94
198,4.090523,102.51946,2.8,0.72,0.07,11.28,1.2,0.0,0.02,1.86,11.55
199,4.090523,102.6026,0.02,7.3,0.0,4.9,0.45,0.01,0.02,1.54,23.39
200,4.090523,102.68574,0.0,2.79,1.98,2.75,3.39,0.01,0.08,1.71,30.6
201,4.090523,102.76887,0.0,2.11,2.96,5.0,14.57,0.0,0.51,0.0,9.03
202,4.090523,102.852005,0.01,2.55,5.54,8.78,1.63,0.16,0.02,0.03,11.6
203,4.090523,102.93514,0.0,0.0,6.4,3.91,0.01,0.0,0.01,11.59,4.88
204,4.090523,103.01828,0.0,0.0,1.08,3.78,0.16,0.1,3.82,1.98,14.75
205,4.090523,103.10142,0.0,0.0,1.4,3.6,2.36,0.91,0.22,1.0,16.81
206,4.090523,103.18455,0.0,0.0,0.0,2.28,0.0,0.0,0.0,0.63,50.36
207,4.090523,103.267685,0.0,0.0,0.0,1.19,1.08,0.0,0.07,0.71,13.24
208,4.090523,103.35082,0.0,0.0,0.0,11.36,0.0,0.0,0.0,0.0,5.83
209,4.090523,103.43396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99
210,4.090523,103.5171,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,13.62
211,4.090523,103.60023,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,27.68
212,4.090523,103.683365,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,28.49
213,4.090523,103.7665,0.0,0.0,0.14,0.29,0.0,0.0,0.0,0.0,28.87
214,4.090523,103.84964,0.0,0.0,0.83,0.92,0.0,0.0,0.0,0.0,26.84
215,4.090523,103.93278,0.0,0.0,1.0,0.97,0.0,0.0,0.0,0.0,26.74
216,4.090523,104.01591,0.0,0.0,0.03,2.81,0.0,0.0,0.0,0.0,12.38
217,4.090523,104.099045,0.01,0.0,0.0,5.89,0.0,0.0,0.0,0.0,18.9
