,lat,lon,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
271,4.173439,98.612076,0.2,0.0,0.02,0.0,0.0,0.0,0.0
272,4.173439,98.695206,0.0,0.02,0.92,0.0,0.0,0.0,0.0
273,4.173439,98.77834,0.0,0.09,-0.06,0.0,0.0,0.0,0.21
274,4.173439,98.86148,2.05,0.02,0.06,0.0,0.0,0.53,0.11
275,4.173439,98.94461,2.11,0.8,7.87,0.37,0.74,0.95,1.87
276,4.173439,99.027756,4.95,4.5,-6.12,0.68,0.28,1.94,4.02
277,4.173439,99.110886,37.02,5.71,-39.43,0.19,1.02,8.42,3.77
278,4.173439,99.19402,2.57,1.99,10.98,0.0,0.28,0.24,21.63
279,4.173439,99.27716,4.69,3.74,-1.56,0.27,0.29,0.01,20.67
280,4.173439,99.36029,11.99,3.71,-8.53,0.8,0.03,0.0,7.55
281,4.173439,99.443436,4.7,3.02,-2.59,0.52,0.61,0.02,11.4
282,4.173439,99.526566,1.55,3.43,10.01,0.46,0.02,0.87,2.6
283,4.173439,99.6097,6.36,2.99,-1.4,0.09,0.01,0.19,0.09
284,4.173439,99.69284,5.0,3.48,0.5,0.02,0.32,1.21,0.39
285,4.173439,99.77597,11.52,2.4,-4.87,0.18,1.35,1.12,0.11
286,4.173439,99.8591,8.07,0.9,-4.97,0.42,0.14,5.5,0.88
287,4.173439,99.942245,0.75,1.89,1.17,3.34,0.01,0.22,1.47
288,4.173439,100.02538,0.05,2.69,-0.2,1.84,0.12,4.97,2.07
289,4.173439,100.10852,0.27,0.87,8.96,0.73,7.83,0.21,3.73
290,4.173439,100.19165,0.85,0.3,5.78,0.32,0.49,0.98,5.78
291,4.173439,100.27478,0.09,0.09,9.97,1.0,0.75,0.46,2.04
292,4.173439,100.357925,0.38,1.82,1.38,13.04,2.39,2.72,4.66
293,4.173439,100.44106,0.39,4.42,5.56,0.9,0.02,8.04,4.22
294,4.173439,100.5242,0.57,0.64,7.03,0.0,0.0,0.04,4.26
295,4.173439,100.60733,0.0,0.0,3.14,0.0,0.0,0.0,3.72
296,4.173439,100.69046,0.35,0.31,5.87,0.0,0.0,0.0,4.36
297,4.173439,100.773605,5.67,1.0,9.18,0.0,0.0,0.0,4.61
298,4.173439,100.85674,32.39,21.45,14.32,0.0,0.0,0.0,11.25
299,4.173439,100.93988,17.21,23.44,22.24,0.0,0.0,0.0,12.05
300,4.173439,101.02302,6.56,18.61,36.48,0.0,0.0,0.0,7.85
301,4.173439,101.10615,5.18,5.5,86.96,0.0,0.0,0.0,25.57
302,4.173439,101.189285,4.89,9.82,51.15,0.0,0.0,0.0,5.6
303,4.173439,101.27242,23.28,77.25,-80.37,0.0,0.02,0.01,13.64
304,4.173439,101.35556,4.93,13.01,-16.69,7.01,0.24,0.18,40.45
305,4.173439,101.4387,27.2,24.3,72.52,0.99,0.0,0.0,17.0
306,4.173439,101.52183,47.47,14.18,61.35,5.06,0.0,0.0,7.13
307,4.173439,101.604965,16.72,7.43,-7.52,3.03,0.0,0.0,0.43
308,4.173439,101.6881,0.34,0.01,6.42,0.0,0.0,0.0,0.0
309,4.173439,101.77124,0.01,0.0,3.31,0.0,0.0,0.02,0.0
310,4.173439,101.85438,0.05,0.0,7.99,0.0,0.0,0.61,0.0
311,4.173439,101.93751,0.01,0.0,14.77,0.0,0.0,5.34,0.0
312,4.173439,102.020645,0.0,0.0,16.49,0.0,0.0,19.83,0.0
313,4.173439,102.10378,0.07,0.0,41.52,0.0,0.0,0.36,0.0
314,4.173439,102.18692,5.11,0.0,11.81,0.0,0.0,0.0,0.0
315,4.173439,102.27006,0.31,0.0,2.63,0.0,0.0,0.0,0.0
316,4.173439,102.35319,0.0,0.0,-8.47,0.0,0.0,0.0,0.0
317,4.173439,102.436325,0.01,0.0,-51.38,0.0,0.0,0.0,0.0
318,4.173439,102.51946,2.51,0.0,3.77,0.0,0.0,0.0,0.0
319,4.173439,102.6026,1.11,0.0,-14.22,0.0,0.0,0.0,0.0
320,4.173439,102.68574,5.15,0.0,-2.19,0.0,0.0,0.0,0.06
321,4.173439,102.76887,1.59,1.4,-18.37,0.0,0.0,0.0,0.01
322,4.173439,102.852005,0.28,0.42,2.56,0.0,0.06,0.0,3.89
323,4.173439,102.93514,0.01,0.26,1.05,0.0,0.12,0.0,0.04
324,4.173439,103.01828,0.0,2.25,-2.09,0.0,0.0,0.0,0.0
325,4.173439,103.10142,0.03,0.61,-0.42,0.0,0.0,0.0,7.64
326,4.173439,103.18455,0.08,6.28,3.74,0.0,0.0,0.0,3.98
327,4.173439,103.267685,0.0,17.83,2.71,0.0,0.02,0.0,1.29
328,4.173439,103.35082,0.01,6.2,-5.82,0.0,0.07,7.48,0.23
329,4.173439,103.43396,0.03,0.34,-0.26,0.0,0.22,1.05,8.55
330,4.173439,103.5171,0.45,0.0,-0.3,0.19,0.02,0.13,0.23
331,4.173439,103.60023,0.55,0.02,0.61,0.03,0.06,0.1,0.42
332,4.173439,103.683365,0.54,0.24,-0.01,0.0,0.01,0.4,0.11
333,4.173439,103.7665,0.55,0.21,0.21,0.01,0.44,0.75,0.42
334,4.173439,103.84964,0.89,0.11,-1.22,0.27,1.15,3.21,1.74
