,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024
254,4.173439,97.19876,4.56,0.47,1.24,0.9,6.61,1.38
255,4.173439,97.28189,29.85,7.62,5.53,7.06,0.35,24.52
256,4.173439,97.36503,37.45,11.55,0.78,0.39,4.87,6.23
257,4.173439,97.448166,24.57,0.47,0.15,0.8,0.07,1.46
258,4.173439,97.5313,20.34,2.1,1.91,0.43,0.03,2.23
259,4.173439,97.61444,28.15,24.78,0.52,4.62,0.02,0.05
260,4.173439,97.69757,8.7,4.24,0.79,5.29,0.23,0.05
261,4.173439,97.78071,3.0,4.55,0.3,5.28,0.06,0.41
262,4.173439,97.863846,14.1,1.0,3.42,16.89,1.63,0.0
263,4.173439,97.94698,56.09,0.32,0.38,10.18,4.22,0.0
264,4.173439,98.03012,9.42,0.01,0.0,1.04,0.12,0.0
265,4.173439,98.11325,0.16,3.69,0.0,0.19,0.05,0.0
266,4.173439,98.19639,0.19,0.01,0.0,0.0,0.0,0.0
267,4.173439,98.279526,0.22,0.0,0.0,0.0,0.0,0.0
268,4.173439,98.36266,0.26,0.54,0.0,0.02,0.0,0.0
269,4.173439,98.4458,0.03,0.0,0.0,0.0,0.0,0.0
270,4.173439,98.52893,0.0,0.0,0.0,0.0,0.13,0.0
271,4.173439,98.612076,0.01,0.0,0.0,0.0,0.0,0.0
272,4.173439,98.695206,0.0,0.0,0.0,0.0,0.0,0.0
273,4.173439,98.77834,0.0,0.0,0.0,0.04,0.0,0.0
274,4.173439,98.86148,0.0,0.04,0.0,0.13,0.98,0.26
275,4.173439,98.94461,0.01,1.09,0.0,0.11,0.13,0.0
276,4.173439,99.027756,0.14,0.46,0.09,0.1,0.01,0.0
277,4.173439,99.110886,0.03,0.01,0.93,2.22,1.23,0.0
278,4.173439,99.19402,0.2,0.45,0.49,0.77,0.09,0.14
279,4.173439,99.27716,3.31,0.14,0.55,0.22,0.0,0.0
280,4.173439,99.36029,0.25,0.38,0.5,0.47,0.0,0.0
281,4.173439,99.443436,0.13,4.69,0.17,0.23,0.0,0.0
282,4.173439,99.526566,0.24,0.93,0.25,0.07,0.0,0.01
283,4.173439,99.6097,2.36,3.95,0.01,0.06,0.16,0.44
284,4.173439,99.69284,1.85,2.91,0.16,0.3,0.01,1.71
285,4.173439,99.77597,5.36,0.78,0.0,0.1,0.0,7.57
286,4.173439,99.8591,1.71,1.09,0.01,0.0,0.0,0.69
287,4.173439,99.942245,0.53,0.19,0.02,0.0,0.0,0.14
288,4.173439,100.02538,0.09,0.11,0.0,0.0,0.49,1.13
289,4.173439,100.10852,0.05,0.0,0.59,0.0,0.0,0.05
290,4.173439,100.19165,0.14,2.06,0.19,0.0,0.0,5.77
291,4.173439,100.27478,1.64,2.94,1.7,0.03,0.09,0.02
292,4.173439,100.357925,0.86,2.06,0.0,0.0,0.8,0.02
293,4.173439,100.44106,0.3,5.71,0.0,0.0,0.07,0.53
294,4.173439,100.5242,2.51,0.4,0.0,0.0,0.0,1.07
295,4.173439,100.60733,11.63,0.0,0.0,0.0,0.0,2.05
296,4.173439,100.69046,10.74,0.0,0.0,0.0,0.0,13.82
297,4.173439,100.773605,39.11,0.0,0.0,0.0,0.0,11.99
298,4.173439,100.85674,38.63,0.0,0.0,0.0,0.0,21.4
299,4.173439,100.93988,35.37,0.04,0.0,0.0,0.0,17.38
300,4.173439,101.02302,6.68,0.0,0.0,0.0,0.0,29.18
301,4.173439,101.10615,49.26,0.0,0.01,0.0,0.0,61.61
302,4.173439,101.189285,56.74,0.0,0.01,0.0,0.0,40.8
303,4.173439,101.27242,27.24,0.04,3.35,7.44,0.0,8.73
304,4.173439,101.35556,16.25,0.0,13.33,1.88,0.0,1.04
305,4.173439,101.4387,10.24,0.02,0.49,11.63,1.91,14.76
306,4.173439,101.52183,48.52,0.0,3.04,17.52,6.54,0.0
307,4.173439,101.604965,7.26,0.0,0.07,0.2,0.11,0.0
308,4.173439,101.6881,3.59,0.0,0.0,0.0,0.0,0.0
309,4.173439,101.77124,0.0,0.0,0.0,0.0,0.0,0.0
310,4.173439,101.85438,0.0,0.0,0.0,0.18,0.0,0.0
311,4.173439,101.93751,0.0,0.0,0.0,0.0,0.0,0.0
312,4.173439,102.020645,0.0,0.02,0.0,0.0,0.0,0.0
313,4.173439,102.10378,0.05,0.0,0.0,0.0,0.0,0.0
314,4.173439,102.18692,0.2,0.01,0.0,0.0,0.01,0.02
315,4.173439,102.27006,1.37,0.02,0.0,0.0,0.0,1.35
316,4.173439,102.35319,0.25,0.0,0.0,0.0,0.0,9.62
317,4.173439,102.436325,1.77,0.0,0.0,0.0,0.0,0.23
318,4.173439,102.51946,0.02,0.0,0.0,0.0,0.0,0.0
319,4.173439,102.6026,0.03,0.0,0.0,0.0,0.0,0.0
