,lat,lon,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024
184,4.090523,101.35556,15.12,0.03,0.04,0.04,0.0,1.53,0.0,9.13
185,4.090523,101.4387,29.31,5.61,0.6,0.77,0.0,9.14,0.04,6.86
186,4.090523,101.52183,23.34,0.01,0.02,0.18,0.0,0.0,0.0,17.72
187,4.090523,101.604965,27.9,0.0,0.0,0.35,0.0,0.0,0.0,5.67
188,4.090523,101.6881,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,4.090523,101.77124,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06
190,4.090523,101.85438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
191,4.090523,101.93751,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65
192,4.090523,102.020645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24
193,4.090523,102.10378,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.22
194,4.090523,102.18692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13
195,4.090523,102.27006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05
196,4.090523,102.35319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8
197,4.090523,102.436325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.07
198,4.090523,102.51946,0.0,0.0,0.0,0.0,0.0,0.0,0.01,24.07
199,4.090523,102.6026,0.0,0.0,0.0,0.0,0.0,0.0,0.02,38.77
200,4.090523,102.68574,0.0,0.0,0.0,0.0,0.0,0.04,0.0,20.75
201,4.090523,102.76887,0.0,0.0,0.0,0.0,0.0,5.27,0.0,0.95
202,4.090523,102.852005,0.17,0.0,0.0,0.04,0.01,8.08,0.0,2.94
203,4.090523,102.93514,0.71,0.01,0.0,0.14,0.13,0.0,0.0,2.87
204,4.090523,103.01828,2.53,0.31,0.02,0.0,10.75,0.13,0.0,2.43
205,4.090523,103.10142,1.73,0.0,0.0,0.0,1.11,0.03,0.0,1.15
206,4.090523,103.18455,4.28,0.0,0.0,0.02,0.03,0.11,0.0,0.37
207,4.090523,103.267685,1.76,0.0,0.0,0.06,0.12,3.89,0.01,2.58
208,4.090523,103.35082,1.79,0.0,0.25,0.73,0.3,0.54,0.24,0.2
209,4.090523,103.43396,0.81,0.0,2.26,0.29,1.13,2.31,1.58,2.09
210,4.090523,103.5171,1.0,0.0,0.15,1.49,0.13,4.1,1.91,3.16
211,4.090523,103.60023,0.24,0.01,0.0,2.16,0.65,2.21,3.58,25.74
212,4.090523,103.683365,1.65,0.03,0.03,0.62,0.01,0.63,0.63,9.19
213,4.090523,103.7665,0.31,0.05,0.2,3.6,0.11,0.53,0.46,35.9
214,4.090523,103.84964,0.73,0.0,0.14,1.93,0.4,4.24,0.81,37.7
215,4.090523,103.93278,0.23,0.48,0.02,0.66,0.14,0.03,0.25,25.75
216,4.090523,104.01591,0.15,0.14,0.2,0.11,0.04,0.17,1.18,33.26
217,4.090523,104.099045,0.8,0.24,0.05,0.53,0.0,0.01,9.02,22.59
218,4.090523,104.18218,0.36,0.25,0.63,0.57,0.63,0.56,5.74,8.13
219,4.090523,104.26532,0.58,0.21,0.7,1.29,3.9,0.18,1.63,13.02
220,4.090523,104.34846,0.59,0.08,0.79,0.01,1.15,3.82,0.88,23.73
221,4.090523,104.43159,0.37,0.02,0.25,0.0,0.02,3.1,6.91,7.16
