,lat,lon,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024,00:00Z 09-Apr-2024,00:00Z 10-Apr-2024,00:00Z 11-Apr-2024,00:00Z 12-Apr-2024,00:00Z 13-Apr-2024,00:00Z 14-Apr-2024
160,4.090523,99.36029,0.19,1.82,1.44,0.07,62.01,11.25,0.0,0.23,0.11,0.73
161,4.090523,99.443436,0.0,4.85,0.06,0.23,75.71,1.84,0.0,0.11,0.01,0.38
162,4.090523,99.526566,0.0,4.87,0.23,0.28,40.73,0.82,0.0,0.29,0.33,0.05
163,4.090523,99.6097,0.17,0.56,5.29,0.37,24.19,1.32,0.0,0.0,0.0,0.01
164,4.090523,99.69284,1.23,0.02,4.83,0.25,3.96,1.68,0.0,0.01,0.02,0.04
165,4.090523,99.77597,0.05,0.02,0.13,0.74,8.61,7.41,0.0,0.0,0.07,0.4
166,4.090523,99.8591,0.19,0.0,0.0,1.32,26.7,18.43,0.0,0.04,0.0,0.09
167,4.090523,99.942245,6.72,0.08,0.0,0.25,19.12,4.24,0.01,0.14,0.01,0.36
168,4.090523,100.02538,0.31,0.14,0.27,0.03,9.52,3.98,0.01,0.14,0.0,1.45
169,4.090523,100.10852,0.08,0.02,0.0,1.24,9.83,10.3,0.0,0.17,0.02,26.24
170,4.090523,100.19165,1.42,0.59,0.0,0.53,5.05,26.77,0.0,0.0,0.07,8.76
171,4.090523,100.27478,6.32,0.14,0.33,0.0,7.84,23.27,0.23,0.0,0.11,43.53
172,4.090523,100.357925,1.04,0.0,0.01,0.16,8.78,33.13,0.0,0.0,0.92,7.57
173,4.090523,100.44106,0.88,0.0,0.0,1.38,0.99,43.86,0.61,0.0,0.65,59.7
174,4.090523,100.5242,0.7,0.0,0.0,0.14,10.98,48.35,1.16,0.0,0.0,65.6
175,4.090523,100.60733,0.69,0.0,0.0,0.0,26.55,41.83,0.43,0.0,0.0,2.12
176,4.090523,100.69046,0.53,0.01,0.0,0.0,2.75,31.52,0.71,0.0,0.0,0.55
177,4.090523,100.773605,1.62,0.02,0.0,3.23,4.83,23.8,3.03,0.0,0.0,0.0
178,4.090523,100.85674,2.61,0.02,0.0,2.11,0.83,23.08,6.72,0.03,0.0,0.0
179,4.090523,100.93988,8.86,0.0,0.01,0.91,1.1,43.3,8.61,0.0,0.0,0.27
180,4.090523,101.02302,2.96,0.0,0.01,3.03,4.88,60.09,15.82,0.0,0.0,5.3
181,4.090523,101.10615,67.09,0.0,0.0,2.41,13.71,37.45,39.8,0.0,0.0,6.15
182,4.090523,101.189285,84.82,0.0,2.31,7.99,42.58,56.56,34.68,0.0,0.0,0.06
183,4.090523,101.27242,21.37,0.12,11.39,0.0,6.3,29.74,26.29,0.0,0.0,1.8
184,4.090523,101.35556,18.17,2.76,46.04,3.17,3.87,22.25,17.43,0.02,1.07,0.0
185,4.090523,101.4387,20.97,4.58,11.11,0.65,10.22,70.5,11.43,0.07,1.87,0.67
186,4.090523,101.52183,0.11,3.99,0.34,12.47,5.94,41.65,13.5,1.32,22.73,8.52
187,4.090523,101.604965,0.0,0.01,1.48,29.82,5.99,38.31,2.59,0.02,3.82,0.03
188,4.090523,101.6881,0.0,0.0,0.04,0.0,0.03,25.28,1.98,0.0,0.0,0.0
189,4.090523,101.77124,0.0,0.0,0.0,0.01,0.31,23.31,0.29,0.0,0.0,0.0
190,4.090523,101.85438,0.0,0.0,0.06,0.18,0.57,19.66,0.0,0.0,0.0,0.0
191,4.090523,101.93751,0.0,0.0,0.0,0.0,0.0,28.69,0.92,0.05,0.0,0.0
192,4.090523,102.020645,0.0,0.0,0.28,0.22,0.0,39.58,1.54,0.0,0.0,0.0
193,4.090523,102.10378,0.0,0.05,0.57,0.16,0.0,21.78,1.32,0.67,0.0,0.0
