,lat,lon,00:00Z 31-Mar-2024,00:00Z 01-Apr-2024,00:00Z 02-Apr-2024,00:00Z 03-Apr-2024,00:00Z 04-Apr-2024,00:00Z 05-Apr-2024,00:00Z 06-Apr-2024,00:00Z 07-Apr-2024,00:00Z 08-Apr-2024
236,4.090523,105.678635,0.25,0.0,0.0,0.0,0.34,0.21,0.0,0.0,0.03
237,4.090523,105.761765,0.5,0.0,0.0,0.0,0.23,0.56,0.0,0.0,0.0
238,4.090523,105.8449,2.0,0.02,0.0,0.0,0.07,23.36,0.06,0.0,0.0
239,4.090523,105.92804,1.29,0.0,0.0,0.0,0.95,64.48,0.02,0.0,0.0
240,4.173439,96.03485,1.66,2.79,0.0,0.66,1.77,1.11,0.15,0.0,0.06
241,4.173439,96.11799,2.04,1.48,0.0,1.76,1.68,0.37,1.24,0.0,0.01
242,4.173439,96.201126,1.7,3.46,0.01,2.11,2.32,0.86,0.88,0.0,0.4
243,4.173439,96.28426,0.2,1.52,0.51,2.39,16.18,0.41,0.01,0.0,0.27
244,4.173439,96.36739,1.17,2.14,2.31,29.07,10.46,4.09,0.01,0.0,4.52
245,4.173439,96.45053,3.19,3.26,7.97,16.05,17.14,11.32,1.5,0.24,11.83
246,4.173439,96.53367,21.53,10.64,18.63,63.93,46.1,45.56,0.81,16.51,38.51
247,4.173439,96.616806,29.9,48.82,50.0,58.5,24.82,65.55,0.81,38.84,11.59
248,4.173439,96.69994,27.12,76.58,27.11,34.93,53.16,53.2,9.66,25.23,47.71
249,4.173439,96.78308,41.28,73.81,30.14,52.29,5.46,14.49,4.88,11.53,11.52
250,4.173439,96.86621,3.96,17.73,37.7,4.02,26.18,12.18,11.96,4.86,5.9
251,4.173439,96.94935,7.34,36.65,34.13,9.37,9.02,8.43,7.89,13.36,12.73
252,4.173439,97.032486,26.55,85.19,51.36,22.77,49.58,32.69,14.89,61.51,8.07
253,4.173439,97.11562,54.95,66.07,83.45,38.84,50.51,12.74,6.27,26.31,0.24
254,4.173439,97.19876,61.39,25.69,47.08,75.53,33.39,5.54,1.61,2.19,3.96
255,4.173439,97.28189,79.59,49.81,78.69,51.19,10.28,7.85,0.87,15.33,0.43
256,4.173439,97.36503,58.19,31.68,23.71,34.14,26.48,12.36,4.54,56.28,9.05
257,4.173439,97.448166,38.34,53.61,5.96,19.63,48.57,28.85,0.93,28.81,3.45
258,4.173439,97.5313,78.28,72.51,5.48,25.89,23.69,0.41,0.0,8.84,2.63
259,4.173439,97.61444,37.67,25.62,30.47,8.87,18.29,0.01,0.0,6.84,1.6
260,4.173439,97.69757,40.44,31.98,5.32,9.54,44.34,0.02,0.0,12.52,0.26
261,4.173439,97.78071,18.31,12.65,4.12,0.8,56.26,0.55,0.0,6.53,0.02
262,4.173439,97.863846,19.29,28.35,24.81,4.61,26.29,0.07,0.0,0.0,0.0
263,4.173439,97.94698,6.17,6.31,4.18,7.37,39.27,0.1,0.0,0.0,0.0
264,4.173439,98.03012,1.4,6.55,1.01,1.06,6.99,11.34,0.0,0.0,0.0
265,4.173439,98.11325,0.29,5.73,0.0,0.72,11.49,0.1,0.0,0.0,0.34
266,4.173439,98.19639,1.0,3.8,0.0,0.29,24.48,0.0,0.0,0.0,25.66
267,4.173439,98.279526,12.45,0.0,0.0,2.61,9.51,0.0,0.0,0.0,1.28
268,4.173439,98.36266,2.04,0.0,0.0,0.34,2.5,0.0,0.0,0.04,0.0
269,4.173439,98.4458,1.01,1.06,0.0,0.0,0.77,0.0,0.0,0.0,0.0
270,4.173439,98.52893,0.09,0.67,0.0,0.0,0.06,0.0,0.0,0.14,0.0
271,4.173439,98.612076,0.65,1.74,0.0,0.0,0.12,0.0,0.0,0.0,0.0
272,4.173439,98.695206,0.24,2.81,0.0,0.0,0.05,0.0,0.0,0.0,0.0
273,4.173439,98.77834,0.34,1.72,0.0,0.0,0.89,0.0,0.49,0.07,0.01
274,4.173439,98.86148,0.03,1.95,0.13,0.27,0.1,0.0,0.02,0.0,0.35
275,4.173439,98.94461,0.02,0.51,0.48,0.23,0.04,0.78,0.1,0.0,0.26
276,4.173439,99.027756,0.0,1.04,9.54,0.07,0.61,0.16,0.22,0.29,0.02
277,4.173439,99.110886,0.0,0.19,0.14,0.63,2.51,0.08,0.62,0.12,0.0
278,4.173439,99.19402,0.02,0.08,0.0,0.25,4.86,0.9,9.07,0.44,0.05
